NewGSNo,SchemeNo,ProjectID,Name,Latitude,Longitude,District
615,4.40008E+13,8453,Establishment of Medical Isotopes (Luticium & Technecium) Facility,33.65316,73.25842,Islamabad
616,4.40008E+13,8532,Speed Breeding Platform for Development of Climate Smart Hybrids of Crops,31.39913,73.03314,Faisalabad
622,3.10708E+13,49,"Strengthening of Ministry of Planning, Development & reforms in IT",33.736111,73.092833,Islamabad
630,3.10708E+13,61,Center of Excellence for China-Pakistan Economic Corridor (CoE-CPEC) [2nd Revised],33.749221,73.138725,Islamabad
631,3.10008E+13,9185,CPEC Secretariat,33.7119,73.0575,Islamabad
636,3.10708E+13,6051,Rising Together Project for the uplift of 20 poorest Districts of Pakistan (50:50),,,Islamabad
639,3.10008E+13,9223,Apex Sub-Committee on Socio-Political Domain's Peace & Development and Support Unit,,,Islamabad
647,1.10206E+13,3623,220/132 Kv GIS Substation Dhabeji GoP Grant,,,Thatta
665,1.19906E+13,1219,Now 220KV Transmission System Network Reinforcement in Islamabad & Burhan,,,Multiple Province
682,1.10406E+13,6632,"i) Electricity Distribution Efficiency Improvement Project (EDEIP), Component IV ii) Power Division iii) The World Bank ( Loan signed on 23-12-2021 but Loan became effective from 15-08-2022)",,,Islamabad
683,1.10106E+13,3614,500kV Chakwal G/S along with allied Transmission line,,,Chakwal
684,1.10406E+13,4107,Evacuation of power from 816MW Mohmand Dam Hydro Power Plant to the National Grid,,,Mansehra
685,1.10406E+13,3607,220-KV Jamrud G/S alongwith allied T/Ls. ,,,Peshawar
686,1.10306E+13,1163,Construction of 33 KV Grid Station in Gurak Area Nall District Khuzdar (QESCO),,,Khuzdar
707,3.50406E+13,1629,Up-gradation of Pakistan Railways existing Main Line-1 (ML-1) and Establishment of Dryport near Havelian (CPEC),,,Multiple Province
719,3.50006E+13,8555,Feasibility Study for Trans Afghan Rail connectivity from Kharlachi (Pakistan) to Mazar-e-Shairf (Afghanistan) via Logar (677 Kms Approx.),,,Hangu
722,4.70006E+13,8332,"Construction of Customs Complex at Sost (Part A) and Construction of Customs Digital Enforcement Stations by FBR along rivers Indus, Hub and in Balochistan (Part B) (Revised).",36.6572,74.8449,Hunza
731,3.70107E+13,1229,Cultivation and Processing of Medicinal and Industrial Cannabis on Experimental Fields and Establishment of testing and product development facilities (PCSIR and Arid Agriculture University),,,Multiple Province
758,4.80006E+13,8119,Development of Pakistan Lunar Exploration Rover (PLExR) for Chang’E-8 Mission,33.518837,73.176727,Multiple Province
759,4.89808E+13,8436,Pakistan Manned Space Mission,31.479706,74.264326,Multiple Province
765,4.00506E+13,1410,Refurbishment & Upgradation of Generation Units of Mangla Power Station (310 MW) ,,,Mirpur
